id,urls,price,title,details,genre
19,https://store.steampowered.com/app/489830/The_Elder_Scrolls_V_Skyrim_Special_Edition/?snr=1_7_7_topsellers_150_1,$39.99 ,The Elder Scrolls V: Skyrim Special Edition,"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud']",['RPG']
20,https://store.steampowered.com/app/992640/Pagan_Online/?snr=1_7_7_topsellers_150_1,$29.99 ,Pagan Online,['Single-player'],"['Action', 'RPG', 'Early Access']"
21,https://store.steampowered.com/app/359550/Tom_Clancys_Rainbow_Six_Siege/?snr=1_7_7_topsellers_150_1,$19.99 ,Tom Clancy's Rainbow Six Siege,"['Single-player', 'Multi-player', 'Co-op', 'Steam Trading Cards', 'In-App Purchases', 'Partial Controller Support']",['Action']
22,https://store.steampowered.com/app/578080/PLAYERUNKNOWNS_BATTLEGROUNDS/?snr=1_7_7_topsellers_150_1,$29.99 ,PLAYERUNKNOWN'S BATTLEGROUNDS,"['Multi-player', 'Online Multi-Player', 'Stats']","['Action', 'Adventure', 'Massively Multiplayer']"
23,https://store.steampowered.com/app/513710/SCUM/?snr=1_7_7_topsellers_150_1,$13.39 ,SCUM,"['Single-player', 'Online Multi-Player', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards']","['Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'Early Access']"
24,https://store.steampowered.com/sub/281610/?snr=1_7_7_topsellers_150_1,$52.49 ,RESIDENT EVIL 2 / BIOHAZARD RE:2 DELUXE EDITION,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",['Action']
25,https://store.steampowered.com/bundle/8133/Borderlands_The_Handsome_Collection/?snr=1_7_7_topsellers_150_1,$59.80 ,Borderlands: The Handsome Collection,"['Single-player', 'Co-op', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud']","['Action', 'RPG']"
26,https://store.steampowered.com/app/294100/RimWorld/?snr=1_7_7_topsellers_150_2,$34.99 ,RimWorld,"['Single-player', 'Steam Workshop', 'Steam Cloud']","['Indie', 'Simulation', 'Strategy']"
27,https://store.steampowered.com/app/242760/The_Forest/?snr=1_7_7_topsellers_150_2,$19.99 ,The Forest,"['Single-player', 'Multi-player', 'Co-op', 'Partial Controller Support', 'Steam Cloud', 'HTC Vive', 'Oculus Rift', 'Tracked Motion Controllers']","['Action', 'Adventure', 'Indie', 'Simulation']"
28,https://store.steampowered.com/app/323190/Frostpunk/?snr=1_7_7_topsellers_150_2,$17.99 ,Frostpunk,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']","['Simulation', 'Strategy']"
29,https://store.steampowered.com/app/435150/Divinity_Original_Sin_2__Definitive_Edition/?snr=1_7_7_topsellers_150_2,$44.99 ,Divinity: Original Sin 2 - Definitive Edition,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Local Multi-Player', 'Co-op', 'Online Co-op', 'Local Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Workshop', 'Steam Cloud', 'Includes level editor']","['Adventure', 'RPG', 'Strategy']"
30,https://store.steampowered.com/app/105600/Terraria/?snr=1_7_7_topsellers_150_2,$9.99 ,Terraria,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']","['Action', 'Adventure', 'Indie', 'RPG']"
31,https://store.steampowered.com/app/816020/JUMP_FORCE/?snr=1_7_7_topsellers_150_2,$35.99 ,JUMP FORCE,"['Single-player', 'Online Multi-Player', 'Local Multi-Player', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support']",['Action']
32,https://store.steampowered.com/app/492720/Tropico_6/?snr=1_7_7_topsellers_150_2,$49.99 ,Tropico 6,"['Single-player', 'Online Multi-Player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud']","['Simulation', 'Strategy']"
33,https://store.steampowered.com/app/648800/Raft/?snr=1_7_7_topsellers_150_2,$19.99 ,Raft,"['Single-player', 'Online Multi-Player', 'Online Co-op', 'Steam Achievements', 'Steam Cloud']","['Adventure', 'Indie', 'Simulation', 'Early Access']"
34,https://store.steampowered.com/app/284160/BeamNGdrive/?snr=1_7_7_topsellers_150_2,$24.99 ,BeamNG.drive,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Includes level editor']","['Racing', 'Simulation', 'Early Access']"
35,https://store.steampowered.com/app/613100/House_Flipper/?snr=1_7_7_topsellers_150_2,$14.99 ,House Flipper,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']","['Indie', 'Simulation']"
36,https://store.steampowered.com/app/289070/Sid_Meiers_Civilization_VI/?snr=1_7_7_topsellers_150_2,$59.99 ,Sid Meiers Civilization VI,"['Single-player', 'Multi-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop']",['Strategy']
37,https://store.steampowered.com/app/594570/Total_War_WARHAMMER_II/?snr=1_7_7_topsellers_150_2,$59.99 ,Total War: WARHAMMER II,"['Single-player', 'Multi-player', 'Steam Achievements', 'Steam Trading Cards']","['Action', 'Strategy']"
38,https://store.steampowered.com/sub/200222/?snr=1_7_7_topsellers_150_2,$26.99 ,ARK: Survival Evolved Season Pass,"['Single-player', 'Multi-player', 'MMO', 'Co-op', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Workshop', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Includes level editor']","['Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'RPG']"
39,https://store.steampowered.com/app/4000/Garrys_Mod/?snr=1_7_7_topsellers_150_2,$9.99 ,Garry's Mod,"['Single-player', 'Multi-player', 'Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Captions available', 'Steam Workshop', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Includes level editor']","['Indie', 'Simulation']"
40,https://store.steampowered.com/app/427520/Factorio/?snr=1_7_7_topsellers_150_2,$30.00 ,Factorio,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Local Multi-Player', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Cloud', 'Includes level editor']","['Casual', 'Indie', 'Simulation', 'Strategy', 'Early Access']"
41,https://store.steampowered.com/app/255710/Cities_Skylines/?snr=1_7_7_topsellers_150_2,$29.99 ,Cities: Skylines,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Partial Controller Support', 'Steam Cloud', 'Includes level editor']","['Simulation', 'Strategy']"
42,https://store.steampowered.com/bundle/5837/RESIDENT_EVIL_7_biohazard_Gold_Edition/?snr=1_7_7_topsellers_150_2,$99.76 ,RESIDENT EVIL 7 biohazard Gold Edition,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']","['Violent', 'Gore', 'Action', 'Adventure']"
